Date, Name, Minutes, Seconds, Distance,Pace, Unit, Feel, Notes, Cross Train Type, Calulate Pace, Field 1, Field 2
2011-04-02,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-04-02,Batman,19,5,2.75,06:56,miles,4,,,1,,
2011-04-03,Cross Train (bike),28,29,6.81,04:10,miles,,,bike,0,,
2011-04-03,Commute (Bike),14,5,1.87888,07:29,miles,3,,,1,,
2011-04-03,Terwilliger + Hawthorne,92,21,13.38,06:54,miles,3,http://www.mapmyfitness.com/routes/view/30908846/,,1,,
2011-04-04,Cross Train (bike),54,37,13.7,03:59,miles,,,bike,0,,
2011-04-04,Commute (Bike),29,0,3.86699,07:29,miles,4,,,1,,
2011-04-04,Rich Man's,33,2,4.55,07:15,miles,4,,,1,,
2011-04-05,Cross Train (bike),55,24,13.895,03:59,miles,,,bike,0,,
2011-04-05,Commute (Bike),29,26,3.92417,07:30,miles,3,,,1,,
2011-04-05,4x4-3-2-1,41,450,10.7195,04:31,miles,5,,,1,,
2011-04-05,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-04-06,Cross Train (bike),54,50,13.7,04:00,miles,,,bike,0,,
2011-04-06,Commute (Bike),28,57,3.86,07:30,miles,4,,,1,,
2011-04-06,Pool run,30,0,4,07:30,miles,4,,,1,,
2011-04-07,Cross Train (bike),53,24,13.7,03:53,miles,,,bike,0,,
2011-04-07,Commute (Bike),29,28,3.92928,07:29,miles,3,,,1,,
2011-04-07,15 min tempo,52,95,8.23403,06:30,miles,1,,,1,,
2011-04-08,Cross Train (bike),52,6,13.5,03:51,miles,,,bike,0,,
2011-04-08,Commute (Bike),29,14,3.89872,07:29,miles,4,,,1,,
2011-04-08,Batman,29,14,2.75,10:37,miles,2,,,1,,
2011-04-08,Cross Train (weights),10,0,,#DIV/0!,miles,,,weights,0,,
2011-04-11,Cross Train (bike),68,12,17.3242,03:56,miles,,,bike,0,,
2011-04-11,Commute (Bike),37,1,4.93552,07:30,miles,4,,,1,,
2011-04-12,Cross Train (bike),53,4,13.5,03:55,miles,,,bike,0,,
2011-04-12,Commute (Bike),28,52,3.84968,07:29,miles,3,,,1,,
2011-04-12,4x400,37,95,5.84419,06:36,miles,2,,,1,,
2011-04-12,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-04-13,Cross Train (bike),51,58,13.5,03:50,miles,,,bike,0,,
2011-04-13,Commute (Bike),29,18,3.9056,07:30,miles,3,,,1,,
2011-04-13,Pool run,30,0,4,07:30,miles,3,,,1,,
2011-04-14,Cross Train (bike),56,18,13.5,04:10,miles,,,bike,0,,
2011-04-14,Commute (Bike),27,58,3.72937,07:29,miles,2,FUCK THIS,,1,,
2011-04-14,Rich Man's,33,12,4.4,07:32,miles,2,,,1,,
2011-04-15,Cross Train (bike),58,7,14.1484,04:06,miles,,,bike,0,,
2011-04-15,Commute (Bike),29,32,3.93695,07:30,miles,3,,,1,,
2011-04-15,Batman,21,3,3,07:01,miles,3,,,1,,
2011-04-16,Cross Train (bike),73,39,17.2411,04:16,miles,,,bike,0,,
2011-04-16,Commute (Bike),35,19,4.70927,07:29,miles,3,,,1,,
2011-04-16,5k,54,75,8.9054,06:12,miles,4,,,1,,
2011-04-18,Commute (Bike),29,20,3.91159,07:29,miles,3,,,1,,
2011-04-19,Commute (Bike),31,54,4.25303,07:30,miles,4,13.7 miles in 47:39,,1,,
2011-04-19,15 min tempo,43,73,6.89503,06:24,miles,3,,,1,,
2011-04-20,Commute,28,29,3.79877,07:29,miles,3,,,1,,
2011-04-20,Pool run,17,0,2.26667,07:29,miles,2,,,1,,
2011-04-21,Commute (Bike),29,45,3.96565,07:30,miles,3,,,1,,
2011-04-21,Rich Man's,32,48,4.4,07:27,miles,3,,,1,,
2011-04-22,Commute (Bike),30,33,4.07271,07:30,miles,3,"13.5, 48:55",,1,,
2011-04-23,Lewis & Clark to Linfield,100,34,13.4078,07:30,miles,4,http://www.gmap-pedometer.com/?r=4454119,,1,,
2011-04-25,Commute (Bike),28,28,3.79579,07:29,miles,3,,,1,,
2011-04-25,Batman,19,8,2.75,06:57,miles,3,,,1,,
